policy,from,to,rule,probability,bytes,steps,apply_ms,verify_ms,covered
hot-pairs,v01,v02,adjacent,0.088889,525248,1,41,43,true
hot-pairs,v01,v03,skip_range,0.007143,1050426,2,73,81,true
hot-pairs,v01,v04,skip_range,0.007143,1706644,3,98,118,true
hot-pairs,v01,v05,skip_range,0.007143,2100848,4,121,155,true
hot-pairs,v01,v10,old_to_latest,0.010000,4333264,7,200,269,true
hot-pairs,v02,v03,adjacent,0.088889,525178,1,32,38,true
hot-pairs,v02,v04,skip_range,0.007143,1181396,2,57,75,true
hot-pairs,v02,v05,skip_range,0.007143,1575600,3,80,112,true
hot-pairs,v02,v06,skip_range,0.007143,1838873,4,113,149,true
hot-pairs,v02,v10,old_to_latest,0.010000,3808016,6,159,226,true
hot-pairs,v03,v04,adjacent,0.088889,656218,1,25,37,true
hot-pairs,v03,v05,skip_range,0.007143,1050422,2,48,74,true
hot-pairs,v03,v06,skip_range,0.007143,1313695,3,81,111,true
hot-pairs,v03,v07,skip_range,0.007143,1969889,4,104,149,true
hot-pairs,v03,v10,old_to_latest,0.010000,3282838,5,127,188,true
hot-pairs,v04,v05,adjacent,0.088889,394204,1,23,37,true
hot-pairs,v04,v06,skip_range,0.007143,657477,2,56,74,true
hot-pairs,v04,v07,skip_range,0.007143,1313671,3,79,112,true
hot-pairs,v04,v08,skip_range,0.007143,1707816,4,114,155,true
hot-pairs,v04,v10,old_to_latest,0.010000,2626620,4,102,151,true
hot-pairs,v05,v06,adjacent,0.088889,263273,1,33,37,true
hot-pairs,v05,v07,skip_range,0.007143,919467,2,56,75,true
hot-pairs,v05,v08,skip_range,0.007143,1313612,3,91,118,true
hot-pairs,v05,v09,skip_range,0.007143,1838856,4,119,157,true
hot-pairs,v06,v07,adjacent,0.088889,656194,1,23,38,true
hot-pairs,v06,v08,skip_range,0.007143,1050339,2,58,81,true
hot-pairs,v06,v09,skip_range,0.007143,1575583,3,86,120,true
hot-pairs,v06,v10,skip_range,0.007143,1969143,2,46,77,true
